dsn,oem,identifier,index,lat,long
AC000W004065207,mach1-adv1,dsn:AC000W004065207~oem_id:56795e59~oem_model:mach1-adv1~,0,20.593684,78.96288
AC000W003239691,mach1-adv1,dsn:AC000W003239691~oem_id:56795e59~oem_model:mach1-adv1~,1,46.729553,-94.6859
AC000W006355350,mach1-adv1,dsn:AC000W006355350~oem_id:56795e59~oem_model:mach1-adv1~,2,61.92411,25.748151
AC000W003259579,mach1-adv1,dsn:AC000W003259579~oem_id:56795e59~oem_model:mach1-adv1~,3,32.157435,-82.907123
AC000W004152631,mach1-adv1,dsn:AC000W004152631~oem_id:56795e59~oem_model:mach1-adv1~,4,18.109581,-77.297508
AC000W004072548,mach1-adv1,dsn:AC000W004072548~oem_id:56795e59~oem_model:mach1-adv1~,5,36.778261,-119.417932
AC000W004145472,mach1-adv1,dsn:AC000W004145472~oem_id:56795e59~oem_model:mach1-adv1~,6,39.550051,-105.782067
AC000W003239076,mach1-adv1,dsn:AC000W003239076~oem_id:56795e59~oem_model:mach1-adv1~,7,18.109581,-77.297508
AC000W003239059,mach1-adv1,dsn:AC000W003239059~oem_id:56795e59~oem_model:mach1-adv1~,8,46.729553,-94.6859
AC000W004162738,mach1-adv1,dsn:AC000W004162738~oem_id:56795e59~oem_model:mach1-adv1~,9,61.92411,25.748151
AC000W004149718,mach1-adv1,dsn:AC000W004149718~oem_id:56795e59~oem_model:mach1-adv1~,10,51.165691,10.451526
AC000W004062990,mach1-adv1,dsn:AC000W004062990~oem_id:56795e59~oem_model:mach1-adv1~,11,36.778261,-119.417932
AC000W003245071,mach1-adv1,dsn:AC000W003245071~oem_id:56795e59~oem_model:mach1-adv1~,12,31.968599,-99.901813
AC000W004153139,mach1-adv1,dsn:AC000W004153139~oem_id:56795e59~oem_model:mach1-adv1~,13,38.905985,-77.033418
AC000W004163776,mach1-adv1,dsn:AC000W004163776~oem_id:56795e59~oem_model:mach1-adv1~,14,43.075968,-107.290284
AC000W006356057,mach1-adv1,dsn:AC000W006356057~oem_id:56795e59~oem_model:mach1-adv1~,15,35.20105,-91.831833
